timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678165241783,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-30,text,false,,875,0,1,1,null,0,0,0
1678165241793,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-31,text,false,,875,0,1,1,null,0,0,0
1678165241793,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-31,text,false,,875,0,1,1,null,0,0,0
1678165241802,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-32,text,false,,875,0,1,1,null,0,0,0
1678165241802,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-32,text,false,,875,0,1,1,null,0,0,0
1678165241809,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-33,text,false,,875,0,1,1,null,0,0,0
1678165241809,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-33,text,false,,875,0,1,1,null,0,0,0
1678165241820,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-34,text,false,,875,0,1,1,null,0,0,0
1678165241821,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-34,text,false,,875,0,1,1,null,0,0,0
1678165241831,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-35,text,false,,875,0,1,1,null,0,0,0
1678165241831,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-35,text,false,,875,0,1,1,null,0,0,0
1678165241842,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-36,text,false,,875,0,1,1,null,0,0,0
1678165241843,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-36,text,false,,875,0,1,1,null,0,0,0
1678165241851,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',users 1-37,text,false,,875,0,1,1,null,0,0,0
